Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
No,main,Pavel Shchekotov,Co-Founder,Denk Solutions,,,,Building Voice AI for People Who Don’t Trust AI,"Most AI products assume users are comfortable installing apps, creating accounts, and talking to chatbots. Many people are not.

In this talk, a founding engineer building production voice-first AI systems explores what happens when you remove the app entirely and let users interact with an LLM agent through a normal phone call.

The session focuses on designing conversational AI for audiences often ignored by mainstream AI products: people who are skeptical of AI, uncomfortable with modern apps, or simply unwilling to learn another interface.

Rather than treating the model itself as the main challenge, the talk explores the harder problem of building trust. Pavel shares practical lessons from deploying real-world voice agents, including conversation design, failure handling, latency expectations, speech interaction patterns, and why familiar interfaces like phone calls can dramatically lower adoption barriers.

Attendees will leave with a grounded perspective on voice AI systems, along with practical ideas for building AI products that feel more accessible, trustworthy, and human for everyday users.",https://www.linkedin.com/in/pavel-shchekotov/,,,,,Pavel Shchekotov_llms.png,,"voice,ai,trust",
No,main,Andrii Veremiienko,Android Software Engineer,Revolut,,,,Shipping AI Features That Don’t Break in Production,"LLM demos are easy. Shipping AI features that real users can depend on is where the hard engineering starts.

In this talk, an Android engineer working on AI-driven mobile features at Revolut shares lessons from building production AI products at scale, alongside developing an independent AI coaching app for padel players.

The session focuses on the messy reality behind AI integrations in mobile apps: latency, inference costs, hallucinations, unreliable outputs, rate limits, and the challenge of designing UX around systems that are fundamentally non-deterministic.

Instead of focusing on ideal demo flows, the talk explores what happens when the model gives incomplete, wrong, delayed, or unusable responses, and how engineering teams can build proper safeguards, fallbacks, and user experiences around those failures.

Attendees will leave with practical patterns, architectural decisions, and product lessons for making LLM-powered mobile features more stable, predictable, and usable in production environments.",https://www.linkedin.com/in/andrii-veremiienko-6326681b8/,,,,,Andrii Veremiienko_llms.png,,"shipping,ai,features",
No,main,Abdul Basit Iqbal,Senior Software Development Engineer,Amazon,,,,Agentic AI for Autonomous Compliance in Enterprise Tax Systems Using LLM-Driven Tax-to-Code Pipelines,"Modern enterprise tax systems operating across multinational jurisdictions face a growing challenge in translating continuously evolving legal regulations into executable compliance logic. Traditional compliance workflows rely heavily on manual interpretation of statutory text, resulting in update cycles that can take months and expose organizations to significant compliance drift and financial risk. This talk presents an LLM-driven Autonomous Compliance Infrastructure (ACI) that applies agentic AI principles to automate the end-to-end transformation of regulatory changes into deployable tax logic. The architecture combines Legal NLP, multi-agent orchestration, formal rule modeling, and a Tax-to-Code Engine that separates declarative regulatory policy from core application logic. The session focuses on practical system design decisions, explainability mechanisms, human-in-the-loop governance, and deployment validation strategies used to ensure reliability in legally critical environments. It also covers lessons learned while integrating large language models into enterprise-grade compliance workflows, including uncertainty handling, rollback strategies, observability, and scalability challenges. Attendees will gain insight into how agentic LLM systems can reduce compliance update cycles from months to hours while maintaining governance, auditability, and operational trust in real-world enterprise platforms.",https://www.linkedin.com/in/abdulbiqbal,,,,,Abdul Basit Iqbal_llms.png,,"compliance,agents,tax",
No,main,Akshaya Jayaram,M&A Security Principal,Salesforce,,,,AMMF: Attention-Based Multi-Feature Fusion for Binary Vulnerability Detection,"Binary vulnerability detection remains a significant challenge in modern software security, particularly when software is reused across diverse architectures, compilers, and optimization settings. Variations introduced during compilation lead to substantial differences in binary representations, making it difficult to reliably identify known vulnerabilities at scale. Existing approaches often rely on limited feature representations or struggle to generalize across heterogeneous environments.  This work introduces AMMF, an attention-driven multi-feature fusion approach for cross-architecture binary vulnerability detection. The method combines assembly-level semantic representations with structural features extracted at both basic block and function levels. Instruction semantics are modeled through learned embedding representations, while contextual relationships are captured using a gated recurrent unit enhanced with self-attention. These semantic representations are fused with control-flow and function-level attributes and processed through an attention-augmented convolutional architecture to produce a unified and discriminative function representation.  AMMF employs a two-stage detection strategy. First, a neural similarity model identifies candidate vulnerable functions from large-scale binary corpora. Second, graph-based matching over control-flow structures refines the results to improve precision. This design enhances both scalability and accuracy while reducing false positives.  Experimental results demonstrate strong performance across cross-architecture, cross-compiler, and cross-optimization settings, highlighting the effectiveness of attention-guided representation learning in improving robustness and generalization for binary vulnerability detection.",https://www.linkedin.com/in/akshjayaram,,,,,Akshaya Jayaram_llms.png,,"security,vulnerabilities,detection",
No,main,Anannya Roy Chowdhury,GenAI Developer/Advocate,AWS,,,,Make Agents Remember the Right Context at the Right Time,"Agentic systems are rapidly moving from prototypes to productionbut a critical challenge remains unsolved: memory. In real-world deployments, agents dont fail because they cant reasonthey fail because they retrieve the wrong context, forget important signals, or overload themselves with irrelevant information. This talk dives deep into memory architectures for production-grade agent systems, moving beyond naive vector database + RAG patterns. We introduce a practical framework for designing agent memory across three layers: working memory (context window), retrieval memory , and persistent memory and how to orchestrate them effectively.  Well explore: Dynamic context management: what to keep, compress, or discard Hybrid retrieval strategies combining semantic, structured signals Well also present a reference architecture and real-world failure scenarios, showing how poor memory design leads to hallucinations, cascading agent errors, and cost blowupsand how to fix them.",https://www.linkedin.com/in/royanannya/,,,,,Anannya Roy Chowdhury_llms.png,,"memory,agents,context",
No,main,Andrei Shcherbinin,Machine Learning Engineer,Social Discovery Group,,,,Building an ML Automoderation System for LLM-Augmented Online Platforms,"In this session, I'll explain how Social Discovery Group built a production ML automoderation system for user-to-user messaging at scale. The talk covers the full workflow: collecting/aligning chat data with Trust & Safety policies, hybrid models (rules + MLLMs for grey areas), thresholding under extreme imbalance, and routing to reviewer queues with priority scoring.  We'll dive into: - Data prep: sampling rare violations, policy-aligned labels. - Model stack: lightweight classifiers for high-risk (toxicity, spam), MLLMs for nuanced cases (harassment, grooming). - Evaluation: imbalance-aware metrics (precision@low recall), error analysis loops with moderator feedback. - Production: A/B thresholds, monitoring drift, safe rollouts as abuse evolves.  This system processes millions of messages daily, reducing reviewer load by 60% while catching 95%+ of violations. Attendees will get a blueprint for LLM-powered moderation pipelines that balance safety, scale, and false positives  critical for LLM-generated content and agentic interactions.",https://www.linkedin.com/in/a-scherbinin/,,,,,Andrei Shcherbinin_llms.png,,"moderation,safety,platforms",
No,main,Arunkumar Muthuramalingam,Cyber Security and Infrastructure Operations manager,General Reinsurance,,,,Identity-Centric Security for AI Systems: IAM as Cybersecurity Infrastructure,"The rapid adoption of large language models (LLMs), AI copilots, autonomous agents, APIs, and cloud-native automation has fundamentally expanded the identity attack surface. Modern AI systems rely on complex interactions between users, services, models, plugins, orchestration frameworks, and machine identities, making traditional perimeter-based security increasingly ineffective. As enterprises integrate LLMs into production workflows, identity has emerged as the primary control plane for securing AI-driven infrastructure.  This session explores identity-centric security as a foundational architecture for modern AI ecosystems, reframing identity and access management (IAM) from an administrative capability into critical cybersecurity infrastructure. Rather than focusing on individual tools, the talk examines identity as a structural control governing authentication, authorization, privilege boundaries, and trust relationships across distributed AI systems.  The presentation highlights several infrastructure-level impacts. First, identity-driven least privilege reduces attack surfaces through granular, context-aware, and time-bound access controls for both human and non-human actors. Second, continuous identity verification limits lateral movement and privilege escalation across AI pipelines, APIs, vector databases, orchestration layers, and cloud workloads. Third, centralized identity governance improves resilience by enabling rapid containment, revocation, and recovery when AI systems are compromised. The session also addresses the growing dominance of non-human identities, including AI agents, automation services, and machine-to-machine workloads, which increasingly outnumber human users in modern environments.  By positioning identity as the security boundary for AI ecosystems, this talk provides a strategic framework for building scalable, resilient, and trustworthy LLM-powered systems where identity, not the network perimeter, becomes the foundation of defense.",https://www.linkedin.com/in/arunkumar0110/,,,,,Arunkumar Muthuramalingam_llms.png,,"identity,security,iam",
No,main,Bhalchandra Shirole,Senior Data Engineer,,,,,From ML to Agentic AI: Engineering Reliable LLM Workflows,"Many organizations adopting LLM-based systems quickly discover that production reliability depends on much more than model quality alone. Retrieval pipelines, orchestration layers, data validation, and operational monitoring often determine whether these systems remain useful at scale.  This session explores the evolution of telecom ITSM ticket routing from traditional machine learning approaches to modern architectures built around Transformers, Retrieval-Augmented Generation (RAG), and agentic AI workflows.  The talk focuses on the engineering infrastructure required to support reliable LLM operations in production environments. Topics include event-driven pipelines, schema validation, feature management, retrieval orchestration, and strategies for grounding model outputs using real-time knowledge sources.  Attendees will see practical comparisons between earlier TF-IDF and ensemble approaches and newer Transformer-based systems, along with lessons learned from deploying retrieval-driven workflows in operational environments where consistency and maintainability matter.  The session also examines common operational challenges such as retrieval quality degradation, context management, orchestration complexity, and balancing automation with observability across distributed systems.  Rather than treating LLMs as isolated models, this talk focuses on the surrounding engineering systems that make large-scale AI workflows dependable in real-world environments.",https://www.linkedin.com/in/bhalchandras/,,,,,Bhalchandra Shirole_llms.png,,"workflows,agents,reliability",
No,main,Bhavin Jayswal,Sr Manager Software Engineering,,,,,Agentic AI Threats and Defenses in Enterprise SASE and Cloud Networks,"Enterprises are rapidly transitioning from legacy SD WAN infrastructures to Secure Access Service Edge (SASE) architectures that integrate networking, security, and cloud connectivity. While this shift improves scalability and operational agility, it also expands the attack surface across distributed environments. At the same time, Agentic Artificial Intelligence (AI) systems capable of autonomous decision making and task execution are emerging as a new class of threat that traditional security controls are not designed to counter.  This session examines how Agentic AI can reshape the enterprise risk landscape and how organizations can design defenses suited for AI enabled adversaries. The discussion draws on a large scale migration of more than 2,300 retail stores from Cisco Viptela to Cisco Meraki SASE. During the migration, exposure points across identity management, policy enforcement, and cloud access were analyzed and mapped to AI driven exploitation scenarios that could accelerate reconnaissance, infiltration, and lateral movement.  To address these risks, layered defense strategies were evaluated using observability platforms such as ThousandEyes and Splunk, combined with proactive anomaly detection and AI assisted remediation workflows. The results showed measurable operational benefits, including a 35% reduction in incident resolution time and a 42% improvement in resilience against service disruptions.  By connecting empirical insights from a real enterprise migration with practical security strategies, this session provides a framework for protecting SASE environments against emerging AI driven threats and building resilient cloud connected networks.",https://www.linkedin.com/in/bhavin-jayswal-8796844/,,,,,Bhavin Jayswal_llms.png,,"threats,sase,defense",
No,main,Dakshaja Vaidya,Technical Account Manager,AWS,,,,Practical LLM-Driven Predictive Resilience in Multi-Cloud Systems for Real-World Applications,"The rapid adoption of large language models (LLMs) is transforming how modern cloud systems are designed, operated, and maintained, particularly in complex multi-cloud environments. While traditional infrastructure resilience relies heavily on reactive monitoring and rule-based automation, real-world deployments increasingly demand intelligent, adaptive systems capable of understanding context, diagnosing issues, and recommending or executing corrective actions. This talk presents a practical approach to integrating LLMs into multi-cloud resilience workflows, focusing on real systems, lessons learned, and production-ready architectures.  We explore how LLMs can augment existing observability pipelines by interpreting heterogeneous telemetry data, logs, and incident reports across cloud providers. By combining LLM capabilities with time-series forecasting and anomaly detection models, teams can build systems that not only predict failures but also generate human-readable insights, remediation suggestions, and automated runbooks. Real-world implementation examples demonstrate how such systems reduce mean time to resolution, improve cross-team collaboration, and simplify debugging in distributed environments.  The session also highlights architectural decisions, including integrating LLMs with Kubernetes-based orchestration, designing provider-agnostic data pipelines, and balancing latency, cost, and reliability. We discuss challenges encountered in production, such as prompt design, hallucination risks, security considerations, and maintaining observability at scale, along with practical solutions that worked and those that did not.  Attendees will gain actionable insights into building and deploying LLM-enhanced resilience systems, including performance tuning strategies, workflow automation techniques, and postmortem-driven improvements. This talk emphasizes real engineering trade-offs and practical takeaways, helping teams move from experimental LLM use to reliable, production-grade systems that improve uptime, reduce operational overhead, and enhance overall system resilience.",https://www.linkedin.com/in/dakshaja-vaidya-381a8a145,,,,,Dakshaja Vaidya_llms.png,,"resilience,multicloud,prediction",
